
 *********************************************** 
  ECE 358 - Lab 1: Queue Simulator 
  Kyle Olive - 20378286 - kolive 
  January 14th 2014 
 ************************************************ 

Question #, Row, Simulation Time (s), K, ArrivalCount, DepartureCount, ObserverCount, E[N], E[T], Pidle, Ploss
Question 3,,,,,,,,,
,0.250000,20000.000000,-1.000000,419140,419140,835048,0.335677,0.015967,0.749455,0.000000
,0.250000,40000.000000,-1.000000,819497,819497,1667818,0.327756,0.015997,0.752934,0.000000
,0.350000,20000.000000,-1.000000,588795,588795,1169198,0.540358,0.018304,0.648001,0.000000
,0.350000,40000.000000,-1.000000,1165893,1165893,2339633,0.543695,0.018690,0.648697,0.000000
,0.450000,20000.000000,-1.000000,752441,752441,1493086,0.807105,0.021456,0.550229,0.000000
,0.450000,40000.000000,-1.000000,1487093,1487093,2975342,0.785237,0.021116,0.554249,0.000000
,0.550000,20000.000000,-1.000000,919192,919192,1827895,1.197500,0.026079,0.457086,0.000000
,0.550000,40000.000000,-1.000000,1826018,1826018,3673838,1.190676,0.026086,0.451940,0.000000
,0.650000,20000.000000,-1.000000,1082572,1082572,2164211,1.793594,0.033172,0.355780,0.000000
,0.650000,40000.000000,-1.000000,2166822,2166822,4370822,1.923842,0.035504,0.343173,0.000000
,0.750000,20000.000000,-1.000000,1238829,1238829,2514656,2.818413,0.045507,0.260836,0.000000
,0.750000,40000.000000,-1.000000,2492730,2492730,5026705,2.941640,0.047229,0.249796,0.000000
,0.850000,20000.000000,-1.000000,1420495,1420495,2850227,5.716825,0.080415,0.152671,0.000000
,0.850000,40000.000000,-1.000000,2807802,2807802,5705244,5.140728,0.073163,0.163898,0.000000
,0.950000,20000.000000,-1.000000,1595485,1595485,3144776,20.087888,0.251755,0.040016,0.000000
,0.950000,40000.000000,-1.000000,3137808,3137808,6328535,14.575737,0.185836,0.059809,0.000000
Question 4,,,,,,,,,
,1.200000,20000.000000,-1.000000,1980539,1980539,3972071,159810.219155,1924.038522,0.000003,0.000000
,1.200000,40000.000000,-1.000000,3975425,3975425,8027136,335249.878778,4056.890772,0.000001,0.000000
Question 6A,,,,,,,,,
,0.500000,20000.000000,5.000000,82729,82729,167313,0.921255,0.223041,0.505753,0.016910
,0.500000,40000.000000,5.000000,164761,164761,335739,0.909805,0.221220,0.505527,0.016288
,0.600000,20000.000000,5.000000,96216,96216,201520,1.169189,0.244409,0.429362,0.030784
,0.600000,40000.000000,5.000000,193185,193185,401524,1.183740,0.244395,0.423997,0.030498
,0.700000,20000.000000,5.000000,109384,109384,232417,1.558518,0.283769,0.334782,0.060759
,0.700000,40000.000000,5.000000,223190,223190,464190,1.498152,0.268224,0.345188,0.053498
,0.800000,20000.000000,5.000000,120733,120733,265875,1.858140,0.307920,0.273140,0.086028
,0.800000,40000.000000,5.000000,242692,242692,537246,1.861616,0.306689,0.270448,0.086615
,0.900000,20000.000000,5.000000,131806,131806,300025,2.257722,0.342988,0.202270,0.133756
,0.900000,40000.000000,5.000000,263399,263399,599639,2.148771,0.326396,0.219382,0.121664
,1.000000,20000.000000,5.000000,138712,138712,338379,2.463451,0.355521,0.171358,0.164285
,1.000000,40000.000000,5.000000,276319,276319,666143,2.477653,0.358929,0.169572,0.162555
,1.100000,20000.000000,5.000000,145473,145473,364814,2.763175,0.379908,0.133202,0.206721
,1.100000,40000.000000,5.000000,289283,289283,732965,2.759354,0.382062,0.131937,0.207098
,1.200000,20000.000000,5.000000,150557,150557,406085,3.021333,0.401368,0.101146,0.247869
,1.200000,40000.000000,5.000000,299846,299846,799613,2.976032,0.397851,0.105784,0.245689
,1.300000,20000.000000,5.000000,153965,153965,433846,3.214472,0.417935,0.079604,0.287381
,1.300000,40000.000000,5.000000,307825,307825,864430,3.192633,0.415087,0.082480,0.280915
,1.400000,20000.000000,5.000000,158898,158898,465136,3.378276,0.425048,0.064659,0.319672
,1.400000,40000.000000,5.000000,315773,315773,927917,3.409433,0.431692,0.061162,0.322322
,0.500000,20000.000000,10.000000,82844,82844,166841,0.981054,0.236077,0.502706,0.000579
,0.500000,40000.000000,10.000000,165118,165118,333389,1.004787,0.242572,0.501138,0.000599
,0.600000,20000.000000,10.000000,99788,99788,200175,1.468435,0.294542,0.401559,0.002349
,0.600000,40000.000000,10.000000,198848,198848,401551,1.430177,0.287459,0.409684,0.002488
