
 *********************************************** 
  ECE 358 - Lab 1: Queue Simulator 
  Kyle Olive - 20378286 - kolive 
  January 14th 2014 
 ************************************************ 

Question #, Row, Simulation Time (s), K, ArrivalCount, DepartureCount, ObserverCount, E[N], E[T], Pidle, Ploss
Question 3,,,,,,,,,
,0.250000,20000.000000,-1,419140,419140,417514,0.337613,0.015987,0.747802,0.000000
,0.250000,40000.000000,-1,819497,819497,833881,0.326557,0.015955,0.753448,0.000000
,0.350000,20000.000000,-1,588795,588795,584631,0.538545,0.018280,0.647990,0.000000
,0.350000,40000.000000,-1,1165893,1165893,1169885,0.544344,0.018704,0.647688,0.000000
,0.450000,20000.000000,-1,752441,752441,746505,0.806161,0.021461,0.550109,0.000000
,0.450000,40000.000000,-1,1487093,1487093,1487691,0.788246,0.021184,0.553651,0.000000
,0.550000,20000.000000,-1,919192,919192,913927,1.198204,0.026055,0.456872,0.000000
,0.550000,40000.000000,-1,1826018,1826018,1836906,1.196041,0.026167,0.451362,0.000000
,0.650000,20000.000000,-1,1082572,1082572,1082130,1.796439,0.033199,0.354518,0.000000
,0.650000,40000.000000,-1,2166822,2166822,2185256,1.934366,0.035726,0.343183,0.000000
,0.750000,20000.000000,-1,1238829,1238829,1257290,2.860607,0.046213,0.259263,0.000000
,0.750000,40000.000000,-1,2492730,2492730,2513330,2.955748,0.047469,0.249549,0.000000
,0.850000,20000.000000,-1,1420495,1420495,1425120,5.698645,0.080161,0.153690,0.000000
,0.850000,40000.000000,-1,2807802,2807802,2852614,5.161627,0.073565,0.163725,0.000000
,0.950000,20000.000000,-1,1595485,1595485,1572344,20.842642,0.261009,0.040835,0.000000
,0.950000,40000.000000,-1,3137808,3137808,3164322,14.766236,0.188235,0.059658,0.000000
